journal_entry,burnout_score,nutrition_score,activity_score,productivity_score,stress_score
"Working Short Day Today, I got up regularly, made sure to get some exercise while walking or hitting the gym for about an hour before starting work. My mind felt calmer and more focused than usual due to getting enough restful sleep last night.",45.66,1.0,0.61,0.31,0.81
"I sat down to work today after a productive but tiring weekend. It had been hectic, but despite feeling exhausted by mid-afternoon, I persevered through the remainder of the day with renewed vigor.",45.68,1.0,0.58,0.39,0.64
"Dear self,  Today has been a whirlwind of activities, mostly centered around work. I feel physically exhausted, mentally motivated to complete my tasks efficiently.",52.15,0.7,0.21,0.32,0.66
"Reflecting upon today's experience, it felt like my body had just gone through a thorough cleanse after several restful hours of sleep. As I stepped out into the sunshine, I felt energized and ready to tackle whatever challenges lay ahead.",52.69,0.49,0.25,0.31,0.59
"Late afternoon found me sitting at my desk, working through emails, spreadsheets and other routine tasks. However, there were some specific items that needed to be completed today - one of which required research and investigation into a potential business opportunity.",24.68,0.62,-0.03,0.72,0.45
"Yesterday, my day started out long and tedious, but then everything began to make sense. After an uncharacteristically uneventful morning, I woke up feeling alert and energized despite the lingering fog that had settled over our city this week.",24.12,0.43,0.28,0.46,0.58
"(Gracefully) Today has been an exhausting day for me. As I sat down to work for an entire stretch, my eyes felt heavy on account of the late-night shift at work.",44.09,0.23,-0.42,0.17,0.14
"Today felt like a perfect balance between getting enough restful sleep and staying productive throughout my usual morning routine. After an uninterrupted eight hours of shut-eye, I made sure to move around some while still maintaining focus on the task at hand.",53.78,0.99,0.22,0.59,0.41
"Working short hours today Feeling refreshed after a long weekend away Balancing eating healthily at home, but also indulging occasionally Getting plenty of restful sleep that helped me focus during my busy schedule Refreshingly feeling energized throughout the day without any distractions or interruptions Mindfully checking off all my important tasks before moving on to other things.",52.46,0.99,0.61,0.39,0.77
"Early morning, tired yet excited to get started. My mind is buzzing with ideas as I open up my laptop to begin working on projects that will help make a difference.",64.17,0.92,0.19,0.57,0.64
"Yesterday was an average day at work, where I had to complete my daily tasks efficiently while maintaining good time management skills. The task list kept me busy throughout the morning, but I managed to check them all without getting too stressed.",71.46,0.92,0.32,0.55,0.64
"Starting your regular morning routine today, feeling grateful for another day filled with balance and wellness. Balanced meal of oatmeal with fresh fruit and almond milk, followed by an early morning run around my neighborhood.",80.23,0.99,0.4,0.57,0.66
"Dear Diary,  Today has been another average day where I moved around a little bit here and there, but overall, it felt more manageable than yesterday's chaos. However, I had to be careful not to overdo it because the sun is setting earlier and it's getting darker by the hour.",89.25,0.73,0.23,0.14,0.54
"Today I woke up feeling rested and ready to tackle another long day at work. Despite feeling slightly anxious about what lay ahead, I made sure to prioritize my morning routine and get moving before heading into the office.",94.95,0.23,-0.0,-0.07,0.5
"Monday morning began with my eyes burning like acid in the dim light of early dawn. My back ached from sitting at a desk all afternoon, and my mind felt foggy after a late night of partying last night.",26.39,0.43,-0.16,0.54,0.3
"Today, despite feeling exhausted from working long hours, I managed to strike a balance between completing assignments while also taking care of myself by eating a healthy breakfast, focusing on productive tasks throughout the day, checking off some important tasks, having adequate sleep (about 7-8 hrs), feeling motivated to get back into exercise after a brief break during lunch time. It's been a challenging week, but I am proud of how I have handled it so far.",26.63,1.0,0.6,0.35,0.79
"Meetings at work were unproductive today due to lack of planning. However, during breaks, I had some great conversations with colleagues that helped me recharge my mind and renewed my focus on tasks ahead.",25.52,0.67,0.35,0.28,0.63
"Me this morning, feeling rested after a long day at work. While still focused on important tasks, it felt good to switch gears and take some time for myself today.",32.66,0.59,0.07,0.33,0.53
"This morning, I woke up feeling exhausted after working overtime last night. However, despite that, I managed to get through my daily routine without too much trouble.",49.26,0.58,-0.17,0.49,0.19
"Yesterday I spent a productive yet restful afternoon completing some long-overdue household chores while simultaneously preparing healthy meals that catered to both my physical and emotional needs. As I sat down to write this reflection, my mind was clear of any stressors that may have contributed to my exhaustion and motivation levels.",47.69,1.0,0.58,0.32,0.77
"Early in the morning, I woke up to my usual routine of having an adequately-balanced breakfast consisting of fruits and whole grains (mostly oats). After that, I started working from home, where I mainly focused on my daily tasks without any distractions.",67.85,0.83,0.08,0.34,0.27
"This morning, I had an average day filled with healthy eating habits that allowed me to feel calmer and more in control throughout my day. Aside from some minor discomforts, such as eye pain and stiffness, I spent most of the morning moving about slowly but steadily.",67.38,0.59,0.13,0.05,0.6
"Today has been a great start to my new routine of waking up early every morning. After completing some essential household chores, including making myself a cup of tea while watching TV, I headed out to complete several important meetings in the office.",85.55,0.69,-0.12,0.36,0.25
